NPOPA$	NPOPB$	NPOPC$	NPOPD$	NPOPE$	NG4	NG2	NG1	NG3	TE$	TED$	TDC$	TCB$	TBA$	ASY	aAYS	TF$	TD$	TC$	TB$	TA$	MaxEstLhood	MaxObsLhood
169247	293	2401	1210	150	293853	435199	31980	544857	49726	113	2880	2952	6770	0.0518450	0.9481550	49725	49839	52719	55671	62441	-478601.013	-478060.858
169247	311	7476	1210	154	293853	436335	31980	544857	49726	109	2880	452	7705	0.0591259	0.9408741	49725	49835	52715	53167	60872	-481475.507	-480990.660
169247	293	12420420	1210	167	293853	436335	31980	544857	49726	124	2880	1834	7042	0.0598261	0.9401739	49725	49850	52730	54564	61606	-488001.405	-487451.321
169247	311	111516	1210	168	293853	436335	31980	544857	49726	127	2880	4629	7705	0.0590031	0.9409969	49725	49853	52733	57362	65067	-478032.137	-477494.024
169247	311	7285919	1210	170	293853	436335	31980	544857	49726	124	2880	1743	7705	0.0566686	0.9433314	49725	49850	52730	54473	62178	-484830.429	-484317.979
169247	311	51539	1210	290	293853	436335	31980	544857	49726	214	2880	1310	7705	0.0543751	0.9456249	49725	49940	52820	54130	61835	-481169.471	-480576.598
169247	311	10667984	1210	153	293853	436335	31980	544857	49726	116	2876	24199	7705	0.0591423	0.9408577	49725	49842	52718	76917	84622	-477225.198	-476740.479
169247	311	257801	1210	193	293853	436335	31980	544857	49726	138	2873	13482	7705	0.0537379	0.9462621	49725	49864	52737	66219	73924	-478301.264	-477763.357
169247	311	1177939	1210	168	293853	436335	31980	544857	49726	124	2880	11476	7705	0.0577606	0.9422394	49725	49850	52730	64206	71911	-483876.258	-483419.404
169247	309	5671529	1210	218	293853	436335	31980	544857	49726	156	2869	7773	7705	0.0566312	0.9433688	49725	49882	52751	60524	68229	-480186.112	-479692.775
169247	311	5977	1210	197	293853	436335	31980	544857	49726	131	2880	759	7705	0.0555405	0.9444595	49725	49857	52737	53496	61201	-477468.960	-476964.943
169247	311	1679313	1210	460	293853	435767	31980	544857	49726	328	2880	2348	7705	0.0580695	0.9419305	49725	50054	52934	55282	62987	-477118.010	-476637.526
169247	329	9985	1210	244	293853	436335	31980	544857	49726	179	2878	18727	7705	0.0553809	0.9446191	49725	49905	52783	71510	79215	-474523.392	-474018.959
169247	311	6719325	1210	164	293853	436335	31980	544857	49726	117	2880	41472	7705	0.0591205	0.9408795	49725	49843	52723	94195	101900	-481652.466	-481094.875
169247	311	736901	1210	146	293853	436335	31980	544857	49726	109	2880	8736	7705	0.0561324	0.9438676	49725	49835	52715	61451	69156	-479811.368	-479267.290
169247	311	42309	1210	203	293853	436335	31980	544857	49726	151	2880	4082	7705	0.0547644	0.9452356	49725	49877	52757	56839	64544	-474309.534	-473838.558
169247	311	31800	1210	164	293853	436335	31980	544857	49726	123	2880	3596	7705	0.0540939	0.9459061	49725	49849	52729	56325	64030	-481404.941	-480896.755
169247	318	1052340	1210	150	293853	435767	31980	544857	49726	107	2880	1045	7830	0.0588370	0.9411630	49725	49833	52713	53758	61588	-478455.720	-477947.784
18098	1737	75033755	3394538	43365	253294	522319	77475	97446	70350	55920	2090	12116191	10560525	0.0545705	0.9454295	70349	126270	128360	12244551	22805076	-495032.685	-485058.513
26587	2204	288	637114	497	780217	332975	73804954	81346	22954	3081	20380	8062	249191	0.0658149	0.9341851	22953	26035	46415	54477	303668	-566443.800	-476114.996
3922746	4494	4103673	205027	6078	440003	464281	100708	228391	47636	7487	129641	15784630	1848	0.0435735	0.9564265	47635	55123	184764	15969394	15971242	-485435.124	-481045.638
66640	1476	61556926	3688565	468	5516063	292844	116811	204599	26194	9398	165765	13116586	753612	0.0416124	0.9583876	26193	35592	201357	13317943	14071555	-491484.634	-482418.414
328898	340	9484	10333	2486	123324	496558	111666	935417	63002	514	111092	254	2705	0.0547007	0.9452993	63001	63516	174608	174862	177567	-479605.710	-475972.351
409476	13041	880	118	1448	253518	275092	14571	504521	25540	1505	300	9174	7545589	0.0530464	0.9469536	25539	27045	27345	36519	7582108	-478966.814	-477152.489
